vertex_no,x,y,z
47788,38.3421745300293,57.21281433105469,6.102135181427002
48961,5.985551834106445,61.466102600097656,-18.124059677124023
47849,7.806025981903076,11.683155059814453,-18.4937744140625
48331,27.35854721069336,36.06481170654297,-9.025814056396484
48404,33.53913879394531,58.5093994140625,-11.662568092346191
48665,17.681888580322266,12.2761869430542,-19.99854850769043
48762,13.911896705627441,29.967979431152344,-25.213808059692383
48746,16.0142822265625,56.523582458496094,-16.3676815032959
48975,12.220685005187988,38.90760040283203,-18.7957706451416
49164,2.9683620929718018,36.87406921386719,-28.916500091552734
49560,61.030189514160156,-19.759553909301758,-17.844343185424805
49545,48.09047317504883,-0.9455680251121521,-30.770673751831055
49529,34.611900329589844,16.57430076599121,-39.975120544433594
51032,34.51128387451172,-42.23122024536133,-7.5925140380859375
54289,27.97990608215332,-28.39605140686035,-19.58023452758789
54279,22.733205795288086,-19.601261138916016,-27.55135154724121
54315,21.465770721435547,-0.04198899865150452,-32.02748107910156
52487,27.997560501098633,-64.88784790039062,-8.026826858520508
51755,48.53475570678711,-51.450950622558594,-12.490878105163574
50308,51.34104919433594,-32.622257232666016,-24.50045394897461
50352,49.61859130859375,-40.09505844116211,-16.80718994140625
50441,40.03339767456055,-10.042633056640625,-27.674091339111328
50763,36.52503204345703,-18.380876541137695,-26.360610961914062
51378,22.466442108154297,-94.4762191772461,18.149974822998047
51949,16.02353286743164,-98.36178588867188,-0.3105269968509674
52988,8.480096817016602,-81.88213348388672,2.673600912094116
52516,11.430388450622559,-77.64277648925781,-6.98989200592041
52009,25.212928771972656,-87.07612609863281,-9.690671920776367
52894,13.21442699432373,-87.44593048095703,3.7829151153564453
52875,9.996542930603027,-66.94689178466797,-1.6831610202789307
53440,3.4394590854644775,-73.41352844238281,18.970298767089844
53381,15.658620834350586,-63.125274658203125,4.216400146484375
53798,23.283370971679688,-60.41508102416992,10.697153091430664
54446,24.025930404663086,-39.764469146728516,-9.732784271240234
54617,33.55013656616211,-14.982951164245605,-21.562286376953125
54735,32.31791305541992,-28.178085327148438,-12.929352760314941
56361,23.295886993408203,46.50080871582031,33.938045501708984
56503,36.06342315673828,49.08720016479492,22.298797607421875
54978,7.350637912750244,49.5438346862793,-7.6200947761535645
55046,28.5573787689209,51.11592483520508,7.169978141784668
55335,9.81447696685791,53.4323844909668,3.360883951187134
55400,23.483638763427734,61.88087463378906,14.037557601928711
55531,6.916322231292725,65.517578125,13.513934135437012
56016,9.488679885864258,55.645538330078125,36.7985954284668
56868,22.667266845703125,28.565805435180664,41.359474182128906
56660,31.948486328125,40.39617919921875,24.815786361694336
56889,39.142127990722656,38.26238250732422,29.206249237060547
57318,41.466102600097656,26.72882652282715,37.17815017700195
57393,35.528987884521484,23.47186279296875,50.12327194213867
58075,37.97910690307617,-23.27705192565918,3.2768750190734863
58604,50.29071807861328,11.26773738861084,-21.50031852722168
58931,48.37513732910156,-4.241485118865967,-17.337194442749023
